,name,lat,lon,temp,humidity,cloudiness,windspeed,country,date
241,Cayenne,4.9333,-52.3333,300.17,83,100,4.63,GF,1676233492
242,Airai,-8.9266,125.4092,288.28,95,99,1.3,TL,1676233755
243,Half Moon Bay,37.4636,-122.4286,291.3,67,0,6.17,US,1676233756
244,Agadez,19.75,10.25,293.48,26,0,3.61,NE,1676233756
245,Bubaque,11.2833,-15.8333,297.03,74,52,8.25,GW,1676233757
246,Flin Flon,54.7682,-101.865,272.06,74,75,4.63,CA,1676233757
247,Emerald,-23.5333,148.1667,297.91,37,0,3.44,AU,1676233758
248,Acapulco de Juárez,16.8634,-99.8901,303.05,66,0,3.6,MX,1676233758
249,Iwanai,42.9744,140.5089,267.13,95,100,1.61,JP,1676233758
250,Tegul'det,57.3064,88.1667,253.3,99,100,1.54,RU,1676233759
251,Mananjary,-21.2167,48.3333,297.46,82,62,0.67,MG,1676233761
252,Lüderitz,-26.6481,15.1594,291.02,90,0,2.33,NA,1676233761
253,Port Hueneme,34.1478,-119.1951,290.96,60,40,5.14,US,1676233762
254,Sioux Lookout,50.1001,-91.917,277.19,65,75,4.63,CA,1676233762
255,Provideniya,64.3833,-173.3,244.63,92,91,3.04,RU,1676233763
256,Arrondissement de Gap,44.6667,6.0,271.95,51,0,2.08,FR,1676233763
257,Vitré,48.1178,-1.2058,277.64,92,0,3.46,FR,1676233764
258,Rome,43.2128,-75.4557,282.44,39,0,0.0,US,1676233511
259,Vardø,70.3705,31.1107,272.14,86,75,8.23,NO,1676233764
260,Provincia di Imperia,43.9667,7.7833,281.71,62,0,2.49,IT,1676233765
261,Arica,-18.475,-70.3042,303.9,61,0,6.17,CL,1676233764
262,Wasco,35.5941,-119.341,285.45,52,19,2.21,US,1676233766
263,Novyy Nekouz,57.9029,38.07,258.62,99,77,2.33,RU,1676233766
264,Poum,-20.2333,164.0167,298.65,63,70,5.95,NC,1676233767
265,Melur,10.05,78.3333,293.36,61,53,2.73,IN,1676233767
266,Ulaanbaatar,47.9077,106.8832,247.22,76,21,1.0,MN,1676233768
267,Santa Marinella,42.0345,11.8536,282.42,54,1,3.81,IT,1676233768
268,Petropavlovsk-Kamchatskiy,53.0452,158.6483,252.48,71,0,5.0,RU,1676233769
269,Tynda,55.1667,124.7167,251.28,96,100,1.74,RU,1676233769
270,Krasnosel'kup,65.7,82.4667,259.13,92,100,9.46,RU,1676233770
271,Belmonte,-15.8631,-38.8828,300.93,72,14,3.53,BR,1676233770
272,Balkhash,46.844,74.9804,250.26,100,70,3.4,KZ,1676233771
273,Carutapera,-1.195,-46.02,300.98,75,53,3.55,BR,1676233771
274,Torbay,47.6666,-52.7314,268.47,75,75,10.29,CA,1676233772
275,Banda Aceh,5.5577,95.3222,298.3,84,53,2.0,ID,1676233772
276,Assiut,27.181,31.1837,284.25,42,56,3.88,EG,1676233773
